000010001001000011010011010001100000100010000000111000000000100010001011100010100010110000000001001 11100010 Twigle
000010001001000011010011010001100000100010000000111000010010100010001011110011100010111000001001001 11100010 Torgged
010010011001001111010011110001100000100010000000111000010110101111001011111011100011111000001011001 11100010 Tortugis
000010000001000000000011010000000010100001101100111000000000100000010000110010100011100001000010001 00000001 Lagma
000011000001010011010011010100000110101001101100111000000100100000010000110010100011100001000010001 00000001 Maguide
000011000001011111010011010101011110101001111100111000000100100001111001110010100011100001110010001 00010011 Magron
110000010001010001001011010011111001100100010001111100000000100010010001001100000010001010100000011 11010100 Lizish
110000010001010001011011011011111001100100010001111101010010100010010001001101000011111010100000111 11010110 Iguaton
110010110101011101011011011011111001100100010001111101010110100111110101001101000011111010100000111 11010110 Dragave
000000000011100000000011110001000000000001100000101100111000011000010000011000000110000010100101001 10001100 Hummingspark
000000000011100000000011110001000000000001100000101110111000011000010000011000000110000010100101001 10001100 Flashclaw
001100000111101110100011110001000100011001101110101110111000011000010000011000000110000110100111001 10001100 Magestiflash
000000000001010001000000010001100000000100000000101100000000000000000000100010000010000010100100001 10001000 Pigo
000010000001010001001000010001110000100110000000101100000010000010000001100011000010110011100100101 11001010 Pigonat
000010000001011101111000010001110000100110000000101100000010000010000011100011000000110111110100101 11001010 Pigoga
100010010001100001010000011000100000100101010000101000000010100010000010100010000010100000000000001 11000000 Hammo
110010010001111001010000011110101000100101010000101000000010100010000010100010000010100000001000001 11000000 HammyBoy
110010011001111001011000011110111000100101010000101000010010100110101011100011000010111000011000101 11000010 Hamthorno
010110010001110001011010011100100101100101010000101001111010100110000010110101001110101000101000101 11100010 Sheabear
011110010001110001011011011100100101101101110010101001111011100110010010110101001111101100111010101 11101110 Dualbear
011111110111111101111011011100100111111101110110101001111011100111110110110101001111101101111110101 11101110 Spacebear
000000000001110001000100010001100000000000000000101000000000010000010000100000100010011000000000001 10000000 Bealtle
100000001001110001001100010011101001100000000000111101000000010000010001100011100010111000000001001 10100000 Centatle
100000001001111001001100010011111001100000000000111101000000010000010001100011100010111000010001001 10100010 Curlatoral
100000001001111001011100010001101001101010000000111101000000110000011011100011100010111000011001001 10100010 Millistone
000010011001010011011011001100110000100100010000101101011010100110010011011000100001011010001001001 11100010 Sapwin
010010011001011011011011011100110000100100010000101101011110100110110011011000100001111010001001001 11100010 Treewin
